country,region,emajrel,commun,bulgex,elecsd,gdp,gee,injud,MXX,reldiv,WSOCDISX,funding
Brunei,2,6,0,0.24900797009468079,0,35268.1011703581,0.9018937349319458,1,41,0.6360647082328796,3,7
Bulgaria,1,1,1,0.13735634088516235,1,6843.26328885315,0.11483520269393921,0,30,0.3332624137401581,25,4
Burkina Faso,4,4,0,0.3707900643348694,1,575.446452687734,-0.5688464045524597,0,0,0.5899903774261475,0,0
Burundi,4,0,0,0.3803037405014038,1,231.194325649216,-1.100945234298706,0,0,0.255314439535141,0,0
Cambodia,2,7,1,0.3134192228317261,1,785.692884137286,-0.9429888129234314,0,5,0.27978232502937317,0,5
Cameroon,4,14,0,0.36555618047714233,0,1182.86922701266,-0.8900719285011292,0,0,0.7160118818283081,0,2
Canada,0,14,0,0.16141751408576965,1,47447.4760241936,1.7831940650939941,1,0,0.5999287962913513,13,2
Cape Verde,4,0,0,0.34759077429771423,1,3312.82598480901,-0.015926674008369446,1,0,0.09859853982925415,0,3
Central African Republic,4,14,0,0.34659165143966675,1,446.443449375206,-1.387743353843689,0,2,0.4933425486087799,3,1
Chad,4,12,0,0.38463348150253296,1,896.569734113861,-1.4663022756576538,0,8,0.5611367225646973,1,3
Chile,5,0,0,0.21045483648777008,1,12860.1776447469,1.2725300788879395,1,7,0.21309047937393188,6,3
China,2,11,1,0.2136358618736267,0,4560.5124871009,0.08864868432283401,0,48,0.9186123609542847,3,6
Colombia,5,0,0,0.24949419498443604,1,6250.65504429614,-0.05923837795853615,0,2,0.08396997302770615,3,1
Comoros,4,4,0,0.34929952025413513,1,769.174288260466,-1.743062973022461,1,26,0.032900236546993256,8,1
Congo-Brazzaville,4,14,0,0.327766478061676,1,2737.34236484237,-1.227732539176941,0,0,0.1885145753622055,0,0
Costa Rica,5,0,0,0.24065952003002167,1,8199.41462068027,0.30813685059547424,1,8,0.21893534064292908,1,3
Croatia,1,0,1,0.13971470296382904,1,13505.7458630323,0.6223206520080566,1,11,0.15858204662799835,23,6
Cuba,5,13,1,0.16809599101543427,0,5676.14140269906,-0.3614288866519928,0,38,0.6384868621826172,2,1
"Cyprus, Greek",0,1,0,0.19635061919689178,1,30818.4639574235,1.5318303108215332,1,9,0.45796388387680054,11,4
"Cyprus, Turkish",0,4,0,NA,NA,NA,NA,NA,14,NA,5,2
Czech Republic,1,14,1,0.14400163292884827,1,19764.0155413397,0.905217707157135,1,10,0.9787516593933105,17,9
Denmark,0,2,0,0.15059992671012878,1,58041.4112245601,2.096789598464966,1,9,0.297659695148468,9,6
Djibouti,4,4,0,0.3386804163455963,1,1325.99072352076,-0.9720983505249023,1,0,0.06045614928007126,5,2
Dominican Rep.,5,0,0,0.2775595188140869,1,5451.06695994465,-0.6435438990592957,0,6,0.09651178866624832,1,2
Ecuador,5,0,0,0.27394789457321167,1,4657.3023611471,-0.7165983319282532,1,1,0.08926239609718323,3,2
Egypt,3,4,0,0.29772812128067017,0,2602.47954869567,-0.37058189511299133,0,46,0.20894528925418854,61,7
El Salvador,5,0,0,0.28577762842178345,1,3474.39244489447,0.007417972665280104,0,5,0.2727912962436676,0,1
Equatorial Guinea,4,14,0,0.323255330324173,0,17136.4456757583,-1.6796176433563232,0,1,0.22063449025154114,0,1
Eritrea,4,14,1,0.377399206161499,0,482.1490904235,-1.3571863174438477,0,30,0.5189277529716492,1,0
